Paper,Topic Assignment
Are large language models memorizing bug benchmarks?,"Code Generation, Benchmarks"
Repairllama: Efficient representations and fine-tuned adapters for program repair,Program Repair
Do LLMs consider security? an empirical study on responses to programming questions,"Vulnerability Detection, Vulnerability Repair, Security Analysis"
Repairbench: Leaderboard of frontier models for program repair,"Program Repair, Benchmarks"
The Sustainability Face of Automated Program Repair Tools,"Program Repair, Green Software"
SnipGen: A Mining Repository Framework for Evaluating LLMs for Code,"Code Generation, Code Summarization, Code Understanding, Benchmarks, Code Completion"
Can test generation and program repair inform automated assessment of programming projects?,"Program Repair, Code Generation, Specification Generation, Computer Science Education"
CODEMORPH: Mitigating Data Leakage in Large Language Model Assessment,"Code Generation, Benchmarks"
Can llms replace manual annotation of software engineering artifacts?,Code Understanding
SecureQwen: Leveraging LLMs for vulnerability detection in python codebases,Vulnerability Detection
Ctibench: A benchmark for evaluating llms in cyber threat intelligence,"Vulnerability Score prediction, Security Analysis, Benchmarks"
Codeultrafeedback: An llm-as-a-judge dataset for aligning large language models to coding preferences,"Code Generation, Benchmarks"
Hybrid automated program repair by combining large language models and program analysis,Program Repair
When Fine-Tuning LLMs Meets Data Privacy: An Empirical Study of Federated Learning in LLM-Based Program Repair,Program Repair
Supersonic: Learning to generate source code optimizations in C/C++,"Code Generation, Code Optimization"
Enhancing automated program repair with solution design,"Program Repair, Benchmarks"
Comprehensive Fine-Tuning Large Language Models of Code for Automated Program Repair,Program Repair
Benchmarking and categorizing the performance of neural program repair systems for Java,"Program Repair, Benchmarks"
Template-guided program repair in the era of large language models,Program Repair
FastFixer: an efficient and effective approach for repairing programming assignments,"Program Repair, Computer Science Education"
Harnessing Large Language Models for Curated Code Reviews,Code Review
PATCH: Empowering Large Language Model with Programmer-Intent Guidance and Collaborative-Behavior Simulation for Automatic Bug Fixing,Program Repair
SUMLLAMA: Efficient Contrastive Representations and Fine-Tuned Adapters for Bug Report Summarization,Bug Report Summarization
SECURE: Benchmarking Large Language Models for Cybersecurity,"Security Analysis, Benchmarks"
Evaluating the Generalizability of LLMs in Automated Program Repair,"Program Repair, Benchmarks"
Towards reliable evaluation of neural program repair with natural robustness testing,Program Repair
MORepair: Teaching LLMs to Repair Code via Multi-Objective Fine-Tuning,Program Repair
Generating vulnerability security fixes with Code Language Models,Vulnerability Repair
Coast: Enhancing the code debugging ability of llms through communicative agent based data synthesis,"Fault Localization, Program Repair, Benchmarks"
Automated Vulnerability Score Prediction through Lightweight Generative AI,Vulnerability Score prediction
A comparative analysis on using GPT and BERT for automated vulnerability scoring,Vulnerability Score prediction
ReAPR: Automatic program repair via retrieval-augmented large language models,Program Repair
Efficient program optimization through knowledge-enhanced LoRA fine-tuning of large language models,Code Optimization
Retrieval Augmented Generation Fine-Tuned LLM Model for Code Recommendations to Mitigate Lock Contention,"Program Repair, Code Generation"
Leveraging Generative AI to Enhance Automated Vulnerability Scoring,Vulnerability Score prediction
Just-in-time detection of silent security patches,Security Patch Detection
Can LLMs Reason About Program Semantics? A Comprehensive Evaluation of LLMs on Formal Specification Inference,"Code Generation, Specification Generation, Benchmarks"
Why Personalizing Deep Learning-Based Code Completion Tools Matters,Code Completion
Towards detecting prompt knowledge gaps for improved llm-guided issue resolution,Code Understanding
Search-based llms for code optimization,Code Optimization
Mercury: A code efficiency benchmark for code large language models,"Code Generation, Benchmarks, Code Performance"
Investigating Execution-Aware Language Models for Code Optimization,Code Optimization
PatchView: Multi-modality detection of security patches,Security Patch Detection
Speed Up Your Code: Progressive Code Acceleration Through Bidirectional Tree Editing,Code Optimization
DeepCodeGraph: A Language Model for Compile-Time Resource Optimization Using Masked Graph Autoencoders,Code Optimization
Context-aware prompting for LLM-based program repair,Program Repair
Hierarchical repository-level code summarization for business applications using local llms,Code Summarization
Selfcodealign: Self-alignment for code generation,Code Generation
Combining Large Language Models with Static Analyzers for Code Review Generation,Code Review
INDICT: Code generation with internal dialogues of critiques for both security and helpfulness,"Code Generation, Security Analysis"
On the Effectiveness of LLM-as-a-judge for Code Generation and Summarization,"Code Generation, Code Summarization"
SV-TrustEval-C: Evaluating Structure and Semantic Reasoning in Large Language Models for Source Code Vulnerability Analysis,"Vulnerability Detection, Vulnerability Repair, Security Analysis, Benchmarks"
Leveraging Open-Source LLMs for Zero-Shot Vulnerability Detection: A Comparative Analysis,Vulnerability Detection
Evaluating Large Language Model Application Impacts on Evasive Spectre Attack Detection.,Vulnerability Detection
Ecosystem of large language models for code,
Bridging HCI and AI Research for the Evaluation of Conversational SE Assistants,Human-AI Collaboration
Insights into resource utilization of code small language models serving with runtime engines and execution providers,"Code Generation, Green Software, Code Performance"
Epicoder: Encompassing diversity and complexity in code generation,Code Generation
CodeContrast: A Contrastive Learning Approach for Generating Coherent Programming Exercises,"Code Generation, Computer Science Education"
SWIFTCODER: Enhancing Code Generation in Large Language Models through Efficiency-Aware Fine-tuning,"Code Generation, Code Optimization"
ProSec: Fortifying Code LLMs with Proactive Security Alignment,"Vulnerability Detection, Benchmarks, Vulnerability Repair, Code Generation"
Revisiting Chain-of-Thought in Code Generation: Do Language Models Need to Learn Reasoning before Coding?,Code Generation
Benchmarking Long-Context Language Models on Long Code Understanding,"Code Understanding, Benchmarks"
AnnCoder: A Mti-Agent-Based Code Generation and Optimization Model,Code Generation
Opencoder: The open cookbook for top-tier code large language models,Code Generation
"Ai-powered, but power-hungry? energy efficiency of llm-generated code","Code Generation, Code Performance, Green Software"
Measuring and Improving the Efficiency of Python Code Generated by LLMs Using CoT Prompting and Fine-Tuning,"Code Generation, Code Optimization, Code Performance"
When Faster Isn't Greener: The Hidden Costs of LLM-Based Code Optimization,"Code Optimization, Code Performance, Green Software"
ECCO: Can We Improve Model-Generated Code Efficiency Without Sacrificing Functional Correctness?,"Benchmarks, Code Generation, Code Performance"
LogUpdater: Automated Detection and Repair of Specific Defects in Logging Statements,"Fault Localization, Benchmarks, Program Repair"
Optimizing code runtime performance through context-aware retrieval-augmented generation,Code Optimization
RAG or Fine-tuning? A Comparative Study on LCMs-based Code Completion in Industry,Code Completion
LLM program optimization via retrieval augmented search,Code Optimization
DeCOS: Data-Efficient Reinforcement Learning for Compiler Optimization Selection Ignited by LLM,"Code Optimization, Code Performance"
Fea-bench: A benchmark for evaluating repository-level code generation for feature implementation,"Benchmarks, Code Generation"
"Unlimited Practice Opportunities: Automated Generation of Comprehensive, Personalized Programming Tasks","Code Generation, Computer Science Education"
Post-Incorporating Code Structural Knowledge into Pretrained Models via ICL for Code Translation,Code Translation
Acecoder: Acing coder rl via automated test-case synthesis,"Code Generation, Specification Generation"
Codei/o: Condensing reasoning patterns via code input-output prediction,Code Understanding
"Kodcode: A diverse, challenging, and verifiable synthetic dataset for coding","Benchmarks, Code Generation"
M2rc-eval: Massively multilingual repository-level code completion evaluation,"Code Completion, Benchmarks"
Brite: Bootstrapping reinforced thinking process to enhance language model reasoning,Code Generation
An empirical study on capability of large language models in understanding code semantics,"Code Understanding, Code Summarization"
LLM-KG-Bench 3.0: A compass for semantic technology capabilities in the ocean of LLMs,"Code Understanding, Program Repair, Code Generation, Benchmarks"
Bitsai-cr: Automated code review via llm in practice,Code Review
DependEval: Benchmarking LLMs for Repository Dependency Understanding,"Benchmarks, Code Generation, Code Understanding"
Question Selection for Multi-Modal Code Search Synthesis using Probabilistic Version Spaces,Code Search
HumanEval Pro and MBPP Pro: Evaluating Large Language Models on Self-invoking Code Generation Task,"Benchmarks, Code Generation"
On Pretraining For Project-Level Code Completion,Code Completion
Synthesizing Software Engineering Data in a Test-Driven Manner,"Code Generation, Benchmarks"
UCP: a unified framework for code generation with pseudocode-based multi-task learning and reinforcement alignment,"Code Generation, Benchmarks, Code Completion"
Swe-bench multimodal: Do ai systems generalize to visual software domains?,"Benchmarks, Code Generation"
Kernelbench: Can llms write efficient gpu kernels?,"Benchmarks, Code Generation"
ObscuraCoder: Powering Efficient Code LM Pre-Training Via Obfuscation Grounding,"Benchmarks, Code Completion, Code Understanding, Code Generation, Code Summarization"
EDITLORD: Learning Code Transformation Rules for Code Editing,Program Repair
Enhancing code llm training with programmer attention,Code Summarization
Leveraging Human Insights for Enhanced LLM-based Code Repair,Program Repair
Learning Game-Playing Agents with Generative Code Optimization,Code Generation
Investigating Reproducibility Challenges in LLM Bugfixing on the HumanEvalFix Benchmark,"Benchmarks, Code Generation"
Correctness Assessment of Code Generated by Large Language Models Using Internal Representations,Code Generation
RECoRD: A Multi-Agent LLM Framework for Reverse Engineering Codebase to Relational Diagram,Code Understanding
Autopresent: Designing structured visuals from scratch,"Code Generation, Benchmarks"
Di-bench: Benchmarking large language models on dependency inference with testable repositories at scale,"Benchmarks, Code Understanding"
Syncmind: Measuring agent out-of-sync recovery in collaborative software engineering,"Benchmarks, Human-AI Collaboration"
SWE-Dev: Building Software Engineering Agents with Training and Inference Scaling,Code Generation
Coding Agents with Multimodal Browsing are Generalist Problem Solvers,Code Generation
CodeV: Issue Resolving with Visual Data,"Code Generation, Benchmarks, Code Understanding"
ELABORATION: A Comprehensive Benchmark on Human-LLM Competitive Programming,"Code Generation, Benchmarks, Human-AI Collaboration"